scope,county,department,category,fiscal_year,method,score,pct_change,amount,prev_amount,note,script_line
timeseries_annual,"Clark County, IN",CLARK COUNTY,JAIL BOND,2022,robust_z|pct_change,241.2012,,2047500.0,,Annual spike vs history,"CLARK COUNTY / JAIL BOND in Clark County, IN hit $2,047,500 in 2022 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,ECHO Grant,2022,robust_z|pct_change,16.097486111111113,,62000.0,,Annual spike vs history,"CLARK COUNTY / ECHO Grant in Clark County, IN hit $62,000 in 2022 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Community Corrections #1,2022,robust_z|pct_change,4.733635976129582,,721240.0,,Annual spike vs history,"CLARK COUNTY / Community Corrections #1 in Clark County, IN hit $721,240 in 2022 — public certified budget."
crosssection_year,"Clark County, IN",CLARK COUNTY,,2022,IsolationForest,0.5,,109853454.0,,Cross-sectional anomaly vs peers (totals + mix),"CLARK COUNTY in Clark County, IN hit $109,853,454 in 2022 — public certified budget."
crosssection_year,"Clark County, IN",CLARK COUNTY,,2022,ECOD,0.0,,109853454.0,,Statistical outlier vs peers (ECOD),"CLARK COUNTY in Clark County, IN hit $109,853,454 in 2022 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Clerk's Records Perpetuation,2023,robust_z|pct_change,77.723478125,,143034.0,,Annual spike vs history,"CLARK COUNTY / Clerk's Records Perpetuation in Clark County, IN hit $143,034 in 2023 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Treasurer Fees Fund N/R,2023,robust_z|pct_change,6.0450981570512825,,24750.0,,Annual spike vs history,"CLARK COUNTY / Treasurer Fees Fund N/R in Clark County, IN hit $24,750 in 2023 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,I.D. Security Protection,2023,robust_z|pct_change,4.496666666666667,,72000.0,,Annual spike vs history,"CLARK COUNTY / I.D. Security Protection in Clark County, IN hit $72,000 in 2023 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,SJPSF Circuit Ct. 4,2023,robust_z|pct_change,3.5800384615384617,,43500.0,,Annual spike vs history,"CLARK COUNTY / SJPSF Circuit Ct. 4 in Clark County, IN hit $43,500 in 2023 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Firearms Training,2023,robust_z|pct_change,3.1676075388026605,36.73965936739659,56200.0,41100.0,Annual spike vs history,"CLARK COUNTY / Firearms Training in Clark County, IN jumped 37% YoY to $56,200 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CUMULATIVE CAPITAL DEVELOPMENT,2023,robust_z|pct_change,2.1640208333333333,-34.43396226415094,695000.0,1060000.0,Annual spike vs history,"CLARK COUNTY / CUMULATIVE CAPITAL DEVELOPMENT in Clark County, IN dropped 34% YoY to $695,000 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,LOIT-CO. GENERAL,2023,robust_z|pct_change,1.1287280447650472,9.363970439227947,3264999.0,2985443.0,Annual spike vs history,"CLARK COUNTY / LOIT-CO. GENERAL in Clark County, IN jumped 9% YoY to $3,264,999 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,JAIL BOND,2023,robust_z|pct_change,1.0792,-43.85836385836386,1149500.0,2047500.0,Annual spike vs history,"CLARK COUNTY / JAIL BOND in Clark County, IN dropped 44% YoY to $1,149,500 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,93.074 Public Health Prep.,2023,robust_z|pct_change,0.6745,-11.412818517476033,53504.0,60397.0,Annual spike vs history,"CLARK COUNTY / 93.074 Public Health Prep. in Clark County, IN dropped 11% YoY to $53,504 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Recorder's Perpetuation,2023,robust_z|pct_change,0.5668032010417642,9.50080270641203,216217.0,197457.0,Annual spike vs history,"CLARK COUNTY / Recorder's Perpetuation in Clark County, IN jumped 10% YoY to $216,217 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CUMULATIVE BRIDGE,2023,robust_z|pct_change,0.5651294186746988,27.623154520188862,2812166.0,2203492.0,Annual spike vs history,"CLARK COUNTY / CUMULATIVE BRIDGE in Clark County, IN jumped 28% YoY to $2,812,166 in 2023."
crosssection_year,"Clark County, IN",CLARK COUNTY,,2023,IsolationForest,0.5,,126917182.0,,Cross-sectional anomaly vs peers (totals + mix),"CLARK COUNTY in Clark County, IN hit $126,917,182 in 2023 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,TOTAL,2023,robust_z|pct_change,0.3811874138023523,15.533173859057722,63458591.0,54926727.0,Annual spike vs history,"CLARK COUNTY / TOTAL in Clark County, IN jumped 16% YoY to $63,458,591 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,ECHO Grant,2023,robust_z|pct_change,0.00026388888888888886,49.19516129032258,92501.0,62000.0,Annual spike vs history,"CLARK COUNTY / ECHO Grant in Clark County, IN jumped 49% YoY to $92,501 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,JUSTICE PARTNERS ADDICTION,2023,robust_z|pct_change,0.0,100.0,120000.0,60000.0,Annual spike vs history,"CLARK COUNTY / JUSTICE PARTNERS ADDICTION in Clark County, IN jumped 100% YoY to $120,000 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Sheriff Local Foreclosure,2023,robust_z|pct_change,0.0,36.36363636363637,161475.0,118415.0,Annual spike vs history,"CLARK COUNTY / Sheriff Local Foreclosure in Clark County, IN jumped 36% YoY to $161,475 in 2023."
timeseries_annual,"Clark County, IN",CLARK COUNTY,TIF-Perry Crossing,2023,robust_z|pct_change,0.0,33.333333333333336,2000.0,1500.0,Annual spike vs history,"CLARK COUNTY / TIF-Perry Crossing in Clark County, IN jumped 33% YoY to $2,000 in 2023."
crosssection_year,"Clark County, IN",CLARK COUNTY,,2023,ECOD,0.0,,126917182.0,,Statistical outlier vs peers (ECOD),"CLARK COUNTY in Clark County, IN hit $126,917,182 in 2023 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Recorder's Perpetuation,2024,robust_z|pct_change,6.181859408645622,271.84911454695975,804001.0,216217.0,Annual spike vs history,"CLARK COUNTY / Recorder's Perpetuation in Clark County, IN jumped 272% YoY to $804,001 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,County Misdemeanant,2024,robust_z|pct_change,1.896494696780634,16.576792637441056,158464.0,135931.0,Annual spike vs history,"CLARK COUNTY / County Misdemeanant in Clark County, IN jumped 17% YoY to $158,464 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Auditor Endorsement Fund,2024,robust_z|pct_change,1.528417861080485,-72.2546026459432,14995.0,54045.0,Annual spike vs history,"CLARK COUNTY / Auditor Endorsement Fund in Clark County, IN dropped 72% YoY to $14,995 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,LOCAL ROAD & STREET,2024,robust_z|pct_change,1.4333125,31.147540983606557,1200000.0,915000.0,Annual spike vs history,"CLARK COUNTY / LOCAL ROAD & STREET in Clark County, IN jumped 31% YoY to $1,200,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,93.563 Prosecutor IVD Inc-Post '99,2024,robust_z|pct_change,1.3474739819004524,11.586279291001935,102049.0,91453.0,Annual spike vs history,"CLARK COUNTY / 93.563 Prosecutor IVD Inc-Post '99 in Clark County, IN jumped 12% YoY to $102,049 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Auditor's Ineligible Deductions,2024,robust_z|pct_change,1.283619386393953,-27.945462350044053,63787.0,88526.0,Annual spike vs history,"CLARK COUNTY / Auditor's Ineligible Deductions in Clark County, IN dropped 28% YoY to $63,787 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,LOIT-CO. GENERAL,2024,robust_z|pct_change,0.8693738211911068,-26.35666963450831,2404454.0,3264999.0,Annual spike vs history,"CLARK COUNTY / LOIT-CO. GENERAL in Clark County, IN dropped 26% YoY to $2,404,454 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CCATS Project Income,2024,robust_z|pct_change,0.6745,40.0,14000.0,10000.0,Annual spike vs history,"CLARK COUNTY / CCATS Project Income in Clark County, IN jumped 40% YoY to $14,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Clerk's Records Perpetuation,2024,robust_z|pct_change,0.6745,-39.0054113008096,87243.0,143034.0,Annual spike vs history,"CLARK COUNTY / Clerk's Records Perpetuation in Clark County, IN dropped 39% YoY to $87,243 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Comm Corr Projection Income,2024,robust_z|pct_change,0.6745,-49.17899630110967,244014.0,480144.0,Annual spike vs history,"CLARK COUNTY / Comm Corr Projection Income in Clark County, IN dropped 49% YoY to $244,014 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Community Corrections #1,2024,robust_z|pct_change,0.6745,-24.776357384504465,542543.0,721240.0,Annual spike vs history,"CLARK COUNTY / Community Corrections #1 in Clark County, IN dropped 25% YoY to $542,543 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,ECONOMIC DEV INCOME TAX CEDIT,2024,robust_z|pct_change,0.6745,22.22222222222222,3300000.0,2700000.0,Annual spike vs history,"CLARK COUNTY / ECONOMIC DEV INCOME TAX CEDIT in Clark County, IN jumped 22% YoY to $3,300,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,I.D. Security Protection,2024,robust_z|pct_change,0.6745,-63.888888888888886,26000.0,72000.0,Annual spike vs history,"CLARK COUNTY / I.D. Security Protection in Clark County, IN dropped 64% YoY to $26,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Information Technology Fund,2024,robust_z|pct_change,0.6745,-58.78378378378378,61000.0,148000.0,Annual spike vs history,"CLARK COUNTY / Information Technology Fund in Clark County, IN dropped 59% YoY to $61,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Public Safety Fund,2024,robust_z|pct_change,0.6745,-12.5967248515386,4857.0,5557.0,Annual spike vs history,"CLARK COUNTY / Public Safety Fund in Clark County, IN dropped 13% YoY to $4,857 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Treasurer Fees Fund N/R,2024,robust_z|pct_change,0.6745,50.23434343434344,37183.0,24750.0,Annual spike vs history,"CLARK COUNTY / Treasurer Fees Fund N/R in Clark County, IN jumped 50% YoY to $37,183 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,GENERAL,2024,robust_z|pct_change,0.5963581838579324,8.211481524435182,36156026.0,33412375.0,Annual spike vs history,"CLARK COUNTY / GENERAL in Clark County, IN jumped 8% YoY to $36,156,026 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CUMULATIVE BRIDGE,2024,robust_z|pct_change,0.5651294186746988,-9.891521339778661,2534000.0,2812166.0,Annual spike vs history,"CLARK COUNTY / CUMULATIVE BRIDGE in Clark County, IN dropped 10% YoY to $2,534,000 in 2024."
crosssection_year,"Clark County, IN",CLARK COUNTY,,2024,IsolationForest,0.5,,139327506.0,,Cross-sectional anomaly vs peers (totals + mix),"CLARK COUNTY in Clark County, IN hit $139,327,506 in 2024 — public certified budget."
timeseries_annual,"Clark County, IN",CLARK COUNTY,TOTAL,2024,robust_z|pct_change,0.3811874138023523,9.778285181276717,69663753.0,63458591.0,Annual spike vs history,"CLARK COUNTY / TOTAL in Clark County, IN jumped 10% YoY to $69,663,753 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CUMULATIVE CAPITAL DEVELOPMENT,2024,robust_z|pct_change,0.11241666666666666,58.273381294964025,1100000.0,695000.0,Annual spike vs history,"CLARK COUNTY / CUMULATIVE CAPITAL DEVELOPMENT in Clark County, IN jumped 58% YoY to $1,100,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,ADR Superior Court,2024,robust_z|pct_change,0.0,71.49528669030528,19830.0,11563.0,Annual spike vs history,"CLARK COUNTY / ADR Superior Court in Clark County, IN jumped 71% YoY to $19,830 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Auditor Non-Reverting,2024,robust_z|pct_change,0.0,-22.552890989796506,53739.0,69388.0,Annual spike vs history,"CLARK COUNTY / Auditor Non-Reverting in Clark County, IN dropped 23% YoY to $53,739 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CC Adult Guardianship Program,2024,robust_z|pct_change,0.0,11.900335811945311,74642.0,66704.0,Annual spike vs history,"CLARK COUNTY / CC Adult Guardianship Program in Clark County, IN jumped 12% YoY to $74,642 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CCATS SUPREME COURT,2024,robust_z|pct_change,0.0,25.0,10000.0,8000.0,Annual spike vs history,"CLARK COUNTY / CCATS SUPREME COURT in Clark County, IN jumped 25% YoY to $10,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,CO Elected Officials Training,2024,robust_z|pct_change,0.0,45.45454545454545,16000.0,11000.0,Annual spike vs history,"CLARK COUNTY / CO Elected Officials Training in Clark County, IN jumped 45% YoY to $16,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Community Corrections CCYC,2024,robust_z|pct_change,0.0,-57.142857142857146,3000.0,7000.0,Annual spike vs history,"CLARK COUNTY / Community Corrections CCYC in Clark County, IN dropped 57% YoY to $3,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Consolidated Prob. User Fee,2024,robust_z|pct_change,0.0,14.579443508356482,402568.0,351344.0,Annual spike vs history,"CLARK COUNTY / Consolidated Prob. User Fee in Clark County, IN jumped 15% YoY to $402,568 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Family Treatment Court,2024,robust_z|pct_change,0.0,8.108108108108109,20000.0,18500.0,Annual spike vs history,"CLARK COUNTY / Family Treatment Court in Clark County, IN jumped 8% YoY to $20,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Firearms Training,2024,robust_z|pct_change,0.0,-18.843416370106763,45610.0,56200.0,Annual spike vs history,"CLARK COUNTY / Firearms Training in Clark County, IN dropped 19% YoY to $45,610 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,JUSTICE PARTNERS ADDICTION,2024,robust_z|pct_change,0.0,-50.0,60000.0,120000.0,Annual spike vs history,"CLARK COUNTY / JUSTICE PARTNERS ADDICTION in Clark County, IN dropped 50% YoY to $60,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,Local Emerg. Planning R/T/K,2024,robust_z|pct_change,0.0,13.043478260869565,26000.0,23000.0,Annual spike vs history,"CLARK COUNTY / Local Emerg. Planning R/T/K in Clark County, IN jumped 13% YoY to $26,000 in 2024."
timeseries_annual,"Clark County, IN",CLARK COUNTY,OVWI COurt 10k,2024,robust_z|pct_change,0.0,25.0,10000.0,8000.0,Annual spike vs history,"CLARK COUNTY / OVWI COurt 10k in Clark County, IN jumped 25% YoY to $10,000 in 2024."
